Date,equity,exposure,n_held,gate,vol_scalar
2000-08-18,1.0238800858010864,0.0,0,0.0,1.0
2000-08-21,1.024116860692717,0.0,0,0.0,1.0
2000-08-22,1.0243536903391475,0.0,0,0.0,1.0
2000-08-23,1.0245905747530402,0.0,0,0.0,1.0
2000-08-24,1.0248275139470602,0.0,0,0.0,1.0
2000-08-25,1.0250645079338756,0.0,0,0.0,1.0
2000-08-28,1.0253015567261572,0.0,0,0.0,1.0
2000-08-29,1.025538660336579,0.0,0,0.0,1.0
2000-08-30,1.0257758187778179,0.0,0,0.0,1.0
2000-08-31,1.0260130320625536,0.0,0,0.0,1.0
2000-09-01,1.0262503002034689,0.0,0,0.0,1.0
2000-09-04,1.0264876232132492,0.0,0,0.0,1.0
2000-09-05,1.0267250011045832,0.0,0,0.0,1.0
2000-09-06,1.0269624338901624,0.0,0,0.0,1.0
2000-09-07,1.0271999215826813,0.0,0,0.0,1.0
2000-09-08,1.0274374641948372,0.0,0,0.0,1.0
2000-09-11,1.0276750617393304,0.0,0,0.0,1.0
2000-09-12,1.0279127142288642,0.0,0,0.0,1.0
2000-09-13,1.0281504216761448,0.0,0,0.0,1.0
2000-09-14,1.0283881840938813,0.0,0,0.0,1.0
2000-09-15,1.0286260014947857,0.0,0,0.0,1.0
2000-09-18,1.028863873891573,0.0,0,0.0,1.0
2000-09-19,1.029101801296961,0.0,0,0.0,1.0
2000-09-20,1.0293397837236709,0.0,0,0.0,1.0
2000-09-21,1.0295778211844264,0.0,0,0.0,1.0
2000-09-22,1.0298159136919542,0.0,0,0.0,1.0
2000-09-25,1.0300540612589841,0.0,0,0.0,1.0
2000-09-26,1.0302922638982486,0.0,0,0.0,0.9811470954034959
2000-09-27,1.0305305216224834,0.0,0,0.0,0.9874125321927751
2000-09-28,1.030768834444427,0.0,0,0.0,0.9955538534975716
2000-09-29,1.0310072023768209,0.0,0,0.0,1.0
2000-10-02,1.0312456254324096,0.0,0,0.0,1.0
2000-10-03,1.0314841036239404,0.0,0,0.0,1.0
2000-10-04,1.0317226369641637,0.0,0,0.0,1.0
2000-10-05,1.0319612254658326,0.0,0,0.0,1.0
2000-10-06,1.0321998691417036,0.0,0,0.0,1.0
2000-10-09,1.0324385680045356,0.0,0,0.0,1.0
2000-10-10,1.0326773220670908,0.0,0,0.0,1.0
2000-10-11,1.0329161313421344,0.0,0,0.0,1.0
2000-10-12,1.0331549958424344,0.0,0,0.0,1.0
2000-10-13,1.0333939155807617,0.0,0,0.0,1.0
2000-10-16,1.0336328905698902,0.0,0,0.0,1.0
2000-10-17,1.0338719208225968,0.0,0,0.0,1.0
2000-10-18,1.0341110063516616,0.0,0,0.0,1.0
2000-10-19,1.0343501471698673,0.0,0,0.0,1.0
2000-10-20,1.0345893432899995,0.0,0,0.0,1.0
2000-10-23,1.034828594724847,0.0,0,0.0,1.0
2000-10-24,1.0350679014872013,0.0,0,0.0,1.0
2000-10-25,1.0353072635898573,0.0,0,0.0,0.9985132115095291
2000-10-26,1.0355466810456124,0.0,0,0.0,1.0
2000-10-27,1.0357861538672672,0.0,0,0.0,1.0
2000-10-30,1.0360256820676252,0.0,0,0.0,1.0
2000-10-31,1.0362652656594928,0.0,0,0.0,1.0
2000-11-01,1.0365049046556796,0.0,0,0.0,1.0
2000-11-02,1.0367445990689979,0.0,0,0.0,1.0
2000-11-03,1.036984348912263,0.0,0,0.0,1.0
2000-11-06,1.0372241541982934,0.0,0,0.0,1.0
2000-11-07,1.0374640149399101,0.0,0,0.0,1.0
2000-11-08,1.0377039311499376,0.0,0,0.0,1.0
2000-11-09,1.037943902841203,0.0,0,0.0,1.0
2000-11-10,1.0381839300265363,0.0,0,0.0,1.0
2000-11-13,1.038424012718771,0.0,0,0.0,1.0
2000-11-14,1.038664150930743,0.0,0,0.0,1.0
2000-11-15,1.0389043446752915,0.0,0,0.0,1.0
2000-11-16,1.0391445939652584,0.0,0,0.0,1.0
2000-11-17,1.0393848988134888,0.0,0,0.0,1.0
2000-11-20,1.0396252592328308,0.0,0,0.0,1.0
2000-11-21,1.039865675236135,0.0,0,0.0,1.0
2000-11-22,1.0401061468362558,0.0,0,0.0,1.0
2000-11-23,1.0403466740460499,0.0,0,0.0,1.0
2000-11-24,1.0405872568783772,0.0,0,0.0,1.0
2000-11-27,1.0408278953461003,0.0,0,0.0,1.0
2000-11-28,1.0410685894620855,0.0,0,0.0,1.0
2000-11-29,1.0413093392392012,0.0,0,0.0,1.0
2000-11-30,1.0415501446903195,0.0,0,0.0,1.0
2000-12-01,1.0417910058283149,0.0,0,0.0,1.0
2000-12-04,1.042031922666065,0.0,0,0.0,1.0
2000-12-05,1.0422728952164508,0.0,0,0.0,1.0
2000-12-06,1.042513923492356,0.0,0,0.0,1.0
2000-12-07,1.0427550075066672,0.0,0,0.0,1.0
2000-12-08,1.042996147272274,0.0,0,0.0,1.0
2000-12-11,1.0432373428020691,0.0,0,0.0,1.0
2000-12-12,1.0434785941089482,0.0,0,0.0,1.0
2000-12-13,1.0437199012058096,0.0,0,0.0,1.0
2000-12-14,1.0439612641055551,0.0,0,0.0,1.0
2000-12-15,1.0442026828210893,0.0,0,0.0,1.0
2000-12-18,1.0444441573653196,0.0,0,0.0,1.0
2000-12-19,1.0446856877511566,0.0,0,0.0,1.0
2000-12-20,1.0449272739915136,0.0,0,0.0,1.0
2000-12-21,1.0451689160993074,0.0,0,0.0,1.0
2000-12-22,1.0454106140874575,0.0,0,0.0,1.0
2000-12-25,1.0456523679688863,0.0,0,0.0,1.0
2000-12-26,1.0458941777565192,0.0,0,0.0,0.9189229168679057
2000-12-27,1.0461360434632845,0.0,0,0.0,0.8576072014680954
2000-12-28,1.046377965102114,0.0,0,0.0,0.8634780047596705
2000-12-29,1.0466199426859417,0.0,0,0.0,0.8711069377263291
2001-01-01,1.0468619762277054,0.0,0,0.0,0.8976238427761514
2001-01-02,1.0471040657403454,0.0,0,0.0,0.9104464988342287
2001-01-03,1.0473462112368053,0.0,0,0.0,0.8868516971924656
2001-01-04,1.0475884127300312,0.0,0,0.0,0.9142897446519274
2001-01-05,1.0478306702329725,0.0,0,0.0,0.9428147385635637
2001-01-08,1.0480729837585818,0.0,0,0.0,0.9498265717177765
2001-01-09,1.0483153533198144,0.0,0,0.0,0.9759501486533328
2001-01-10,1.0485577789296285,0.0,0,0.0,1.0
2001-01-11,1.0488002606009859,0.0,0,0.0,1.0
2001-01-12,1.0490427983468504,0.0,0,0.0,1.0
2001-01-15,1.04928539218019,0.0,0,0.0,1.0
2001-01-16,1.0495280421139745,0.0,0,0.0,1.0
2001-01-17,1.0497707481611775,0.0,0,0.0,1.0
2001-01-18,1.0500135103347756,0.0,0,0.0,1.0
2001-01-19,1.050256328647748,0.0,0,0.0,1.0
2001-01-22,1.0504992031130769,0.0,0,0.0,1.0
2001-01-23,1.0507421337437477,0.0,0,0.0,1.0
2001-01-24,1.050985120552749,0.0,0,1.0,1.0
2001-01-25,1.0480744790624128,1.0,15,1.0,1.0
2001-01-26,1.0480744790624128,1.0,15,1.0,1.0
2001-01-29,1.0181218493901045,1.0,15,1.0,1.0
2001-01-30,1.0339425620783165,1.0,15,1.0,1.0
2001-01-31,1.0385292354034636,1.0,15,1.0,1.0
2001-02-01,1.0238508605386,1.0,15,1.0,1.0
2001-02-02,1.0481839534230502,1.0000000000000002,15,1.0,1.0
2001-02-05,1.0768060025646715,1.0,15,1.0,0.9992983497503175
2001-02-06,1.0704052833335373,1.0,15,1.0,1.0
2001-02-07,1.0678179229168854,1.0000000000000002,15,1.0,1.0
2001-02-08,1.0995622764585558,1.0,15,1.0,0.9672511540668454
2001-02-09,1.1173834678107197,1.0,15,1.0,0.9634791053309153
2001-02-12,1.1053223264713004,1.0000000000000002,15,1.0,0.9818674594231037
2001-02-13,1.0969523592092532,1.0000000000000002,15,1.0,1.0
2001-02-14,1.1104571409417068,1.0,15,1.0,1.0
2001-02-15,1.117336999212479,1.0,15,1.0,1.0
2001-02-16,1.0818259826970589,1.0,15,1.0,0.9537412730951577
2001-02-19,1.0869523294631622,1.0,15,1.0,0.9805197912944305
2001-02-20,1.090596889132316,1.0,15,1.0,1.0
2001-02-21,1.0811609023896196,1.0,15,1.0,1.0
2001-02-22,1.074414049758504,1.0,15,1.0,1.0
2001-02-23,1.0347389947929948,1.0,15,0.0,0.9301623798328279
2001-02-26,1.0231859561480854,0.0,0,0.0,0.9530280549080868
2001-02-27,1.0234225705204563,0.0,0,0.0,0.8976674294139382
2001-02-28,1.0236592396105066,0.0,0,0.0,0.8573158696188782
2001-03-01,1.0238959634308902,0.0,0,0.0,0.8803181543219689
2001-03-02,1.0241327419942632,0.0,0,0.0,0.7966699301823112
2001-03-05,1.0243695753132853,0.0,0,0.0,0.7143105218887483
2001-03-06,1.024606463400619,0.0,0,0.0,0.736755048702262
2001-03-07,1.0248434062689293,0.0,0,0.0,0.746637117273295
2001-03-08,1.0250804039308847,0.0,0,0.0,0.7697643430550997
2001-03-09,1.0253174563991563,0.0,0,0.0,0.6754453526418481
2001-03-12,1.0255545636864183,0.0,0,0.0,0.5955541922020637
2001-03-13,1.0257917258053475,0.0,0,0.0,0.4948593412600973
2001-03-14,1.026028942768624,0.0,0,0.0,0.4460915072319384
2001-03-15,1.0262662145889307,0.0,0,0.0,0.4534333961585921
2001-03-16,1.0265035412789536,0.0,0,0.0,0.4616024878937219
2001-03-19,1.026740922851381,0.0,0,0.0,0.47507591447175374
2001-03-20,1.026978359318905,0.0,0,0.0,0.48759547942004705
2001-03-21,1.0272158506942202,0.0,0,0.0,0.4981602865760103
2001-03-22,1.027453396990024,0.0,0,0.0,0.5131874389318024
2001-03-23,1.0276909982190168,0.0,0,0.0,0.5197151720335741
2001-03-26,1.0279286543939024,0.0,0,0.0,0.5359183416443636
2001-03-27,1.028166365527387,0.0,0,0.0,0.5489246859879948
2001-03-28,1.0284041316321797,0.0,0,0.0,0.5487201383426014
2001-03-29,1.0286419527209931,0.0,0,0.0,0.5647410608709527
2001-03-30,1.0288798288065424,0.0,0,0.0,0.5654031495290421
2001-04-02,1.0291177599015455,0.0,0,0.0,0.5609771032310821
2001-04-03,1.0293557460187237,0.0,0,0.0,0.5770604289413027
2001-04-04,1.0295937871708007,0.0,0,0.0,0.5951087749247419
2001-04-05,1.0298318833705038,0.0,0,0.0,0.6138078342924213
2001-04-06,1.0300700346305627,0.0,0,0.0,0.6330912775007251
2001-04-09,1.0303082409637103,0.0,0,0.0,0.6523966352069867
2001-04-10,1.0305465023826823,0.0,0,0.0,0.6705111737694602
2001-04-11,1.0307848189002176,0.0,0,0.0,0.6766474247599634
2001-04-12,1.0310231905290579,0.0,0,0.0,0.663366279433121
2001-04-13,1.0312616172819478,0.0,0,0.0,0.6842100746589685
2001-04-16,1.0315000991716348,0.0,0,0.0,0.6900110100633092
2001-04-17,1.0317386362108694,0.0,0,0.0,0.6743916981498618
2001-04-18,1.0319772284124051,0.0,0,0.0,0.615159649796528
2001-04-19,1.0322158757889983,0.0,0,0.0,0.6327336177148236
2001-04-20,1.0324545783534085,0.0,0,0.0,0.6515361696763345
2001-04-23,1.0326933361183979,0.0,0,0.0,0.670750815267417
2001-04-24,1.0329321490967318,0.0,0,0.0,0.6918230253408251
2001-04-25,1.0331710173011786,0.0,0,0.0,0.6908222411376981
2001-04-26,1.0334099407445092,0.0,0,0.0,0.7071269015770744
2001-04-27,1.033648919439498,0.0,0,0.0,0.6570564413214306
2001-04-30,1.0338879533989218,0.0,0,0.0,0.6739265960560583
2001-05-01,1.0341270426355609,0.0,0,0.0,0.6951022095910862
